calories,protein,fat,carbohydrates
80.0,8.0,2.0,6.67
80.0,8.0,2.0,6.67
158.0,3.19,3.95,28.1
106.0,7.33,3.0,12.3
118.0,4.12,4.71,14.7
429.0,3.57,17.9,52.74000000000001
107.0,9.33,2.67,12.0
62.0,1.77,0.44,12.4
86.4,3.42,0.144,17.9
80.6,4.09,1.08,13.6
86.4,3.42,0.144,17.9
82.0,3.53,1.18,14.1
86.4,3.42,0.144,17.9
235.0,14.7,1.47,44.1
320.0,3.13,10.7,52.8
1014.0000000000008,8.36,16.6,41.7
226.0,9.68,2.42,41.9
274.0,10.67,4.53,47.54
240.0,12.0,3.0,46.0
186.0,11.6,9.3,27.9
265.0,13.36,4.23,43.34
248.0,4.31,5.24,45.78
254.0,12.3,3.55,43.1
289.0,7.89,3.95,52.6
267.0,11.1,4.44,48.9
311.0,11.1,6.67,55.6
256.0,11.6,5.81,44.2
246.0,7.02,2.63,50.9
270.0,8.82,3.26,52.21
214.0,10.7,3.57,39.3
289.0,6.78,8.39,46.7
233.0,11.6,2.33,46.5
250.0,10.7,7.14,46.4
250.0,10.7,3.57,46.4
214.0,10.7,3.57,42.9
267.0,9.43,3.59,49.2
196.0,5.36,2.68,37.5
243.0,10.8,2.7,40.5
265.0,11.8,4.41,50.0
240.0,10.0,4.5,40.0
265.0,8.16,2.04,53.1
1000.0,3.81,4.47,46.1
263.0,13.2,2.63,52.6
275.0,7.5,5.0,52.5
277.0,6.38,12.8,31.9
250.0,17.9,12.5,28.6
342.0,5.26,11.8,55.3
265.0,13.4,4.23,43.3
1014.0000000000008,10.7,1.99,52.74000000000001
260.0,8.0,2.0,50.0
250.0,3.57,7.14,53.6
238.0,10.66,2.15,43.91
269.0,13.3,2.42,48.13
1014.0000000000008,10.0,7.37,53.6
273.0,9.09,4.55,51.5
267.0,8.89,2.22,53.3
298.0,8.77,6.14,50.9
228.0,10.46,9.05,26.1
289.0,11.1,2.22,53.3
214.0,14.3,7.14,39.3
400.0,6.67,13.3,52.74000000000001
289.0,13.3,3.33,48.9
267.0,8.89,4.44,51.1
311.0,8.89,4.44,55.6
1014.0000000000008,8.7,3.1,47.5
240.0,6.0,3.0,48.0
246.0,8.77,1.75,50.9
374.0,6.01,18.1,47.34
306.0,5.05,13.14,42.64
1014.0000000000008,4.3,10.5,54.6
1014.0000000000008,10.7,4.53,47.5
279.0,9.3,5.81,48.8
279.0,11.6,5.81,46.5
250.0,7.14,5.36,46.4
279.0,11.6,3.49,48.8
266.0,9.38,3.12,51.6
279.0,11.6,4.65,48.8
280.0,12.0,6.0,46.0
286.0,10.7,5.36,50.0
1014.0000000000008,5.4,8.02,51.2
259.0,8.5,3.3,48.3
263.0,7.89,2.63,50.0
258.0,4.84,4.03,51.6
263.0,8.77,3.51,50.9
338.0,13.3,20.7,25.3
264.0,8.73,13.62,26.53
536.0,14.3,32.1,28.6
240.0,7.91,1.8,48.1
233.0,6.98,1.16,46.5
272.0,10.75,2.42,51.88
265.0,10.2,2.04,49.0
265.0,8.16,3.06,51.0
226.0,9.43,1.89,43.4
303.0,6.06,4.55,60.6
280.0,12.0,4.0,52.0
1014.0000000000008,8.6,6.3,46.0
292.0,13.8,10.8,35.4
375.0,7.5,20.0,37.5
263.0,7.02,0.88,54.4
253.0,7.05,5.29,44.4
427.0,8.96,27.46,36.31
351.0,8.78,16.83,41.14
1014.0000000000008,12.5,3.13,47.1
303.0,9.09,4.55,60.6
312.0,9.38,4.69,56.2
276.0,10.3,3.45,51.7
250.0,9.38,3.12,43.8
250.0,9.38,3.12,50.0
250.0,9.38,3.12,46.9
282.0,8.45,2.82,53.5
333.0,11.1,17.8,33.3
281.0,9.38,4.69,53.1
250.0,9.38,3.12,46.9
228.0,7.02,1.75,45.6
265.0,8.16,4.08,51.0
289.0,10.5,5.26,55.3
378.0,6.67,15.6,51.1
289.0,13.3,4.44,48.9
281.0,10.5,0.88,59.6
281.0,8.77,4.39,50.9
298.0,10.5,7.89,50.9
265.0,4.08,8.16,49.0
250.0,7.14,3.57,46.4
300.0,6.0,9.0,44.0
280.0,8.0,4.0,56.0
1014.0000000000008,9.49,2.73,48.1
324.0,8.82,16.2,36.8
298.0,8.77,7.02,52.6
265.0,2.04,6.12,53.1
246.0,8.77,3.51,43.9
404.0,12.3,7.89,52.74000000000001
232.0,8.93,2.68,44.6
263.0,8.77,0.88,52.6
228.0,10.5,3.51,40.4
362.0,3.18,14.5,54.6
259.0,8.5,3.3,48.3
